iter	Passed	Remaining
434	1473	1913
435	1476	1909
436	1479	1906
437	1482	1902
438	1486	1898
439	1489	1895
440	1492	1891
441	1495	1887
442	1498	1883
443	1501	1880
444	1504	1876
445	1507	1872
446	1510	1868
447	1513	1865
448	1516	1861
449	1519	1857
450	1522	1853
451	1525	1850
452	1529	1846
453	1532	1842
454	1535	1839
455	1538	1835
456	1541	1831
457	1544	1828
458	1547	1824
459	1551	1821
460	1554	1817
461	1557	1814
462	1561	1810
463	1564	1806
464	1567	1803
465	1570	1799
466	1574	1796
467	1577	1792
468	1580	1789
469	1583	1785
470	1586	1781
471	1590	1778
472	1592	1774
473	1595	1771
474	1599	1767
475	1602	1763
476	1605	1760
477	1608	1756
478	1611	1752
479	1614	1749
480	1617	1745
481	1620	1741
482	1624	1738
483	1627	1735
484	1630	1731
485	1633	1727
486	1636	1724
487	1639	1720
488	1642	1716
489	1645	1712
490	1648	1709
491	1651	1705
492	1654	1701
493	1657	1697
494	1660	1694
495	1663	1690
496	1667	1687
497	1670	1683
498	1673	1679
499	1676	1676
500	1679	1672
501	1682	1668
502	1685	1665
503	1688	1661
504	1691	1658
505	1694	1654
506	1697	1651
507	1700	1647
508	1704	1643
509	1707	1640
510	1710	1636
511	1713	1632
512	1715	1628
513	1718	1625
514	1722	1621
515	1725	1618
516	1728	1614
517	1731	1611
518	1734	1607
519	1737	1603
520	1740	1600
521	1743	1596
522	1746	1593
523	1750	1589
524	1753	1586
525	1756	1582
526	1759	1579
527	1763	1576
528	1766	1572
529	1769	1569
530	1772	1565
531	1775	1561
532	1778	1558
533	1781	1554
534	1784	1551
535	1787	1547
536	1790	1544
537	1793	1540
538	1797	1537
539	1800	1533
540	1803	1530
541	1806	1526
542	1809	1522
543	1812	1519
544	1815	1515
545	1818	1512
546	1821	1508
547	1825	1505
548	1828	1501
549	1831	1498
550	1834	1494
551	1837	1491
552	1840	1487
553	1843	1484
554	1846	1480
555	1850	1477
556	1853	1473
557	1856	1470
558	1859	1467
559	1862	1463
560	1865	1460
561	1868	1456
562	1871	1452
563	1874	1449
564	1878	1446
565	1881	1442
566	1884	1439
567	1887	1435
568	1890	1431
569	1893	1428
570	1896	1424
571	1899	1421
572	1902	1418
573	1905	1414
574	1909	1411
575	1912	1407
576	1915	1404
577	1918	1400
578	1921	1397
579	1924	1393
580	1928	1390
581	1931	1387
582	1934	1383
583	1937	1380
584	1940	1376
585	1943	1373
586	1946	1369
587	1949	1366
588	1952	1362
589	1955	1359
590	1958	1355
591	1962	1352
592	1965	1348
593	1968	1345
594	1971	1342
595	1975	1338
596	1978	1335
597	1981	1331
598	1984	1328
599	1987	1325
600	1990	1321
601	1993	1317
602	1996	1314
603	1999	1310
604	2002	1307
605	2005	1303
606	2008	1300
607	2011	1296
608	2014	1293
609	2017	1289
610	2020	1286
611	2023	1282
612	2026	1279
613	2029	1275
614	2032	1272
615	2036	1269
616	2039	1265
617	2042	1262
618	2045	1259
619	2048	1255
620	2051	1252
621	2054	1248
622	2057	1245
623	2060	1241
624	2063	1238
625	2066	1234
626	2069	1231
627	2072	1227
628	2075	1224
629	2078	1220
630	2081	1217
631	2084	1213
632	2087	1210
633	2090	1206
634	2093	1203
635	2096	1200
636	2099	1196
637	2103	1193
638	2106	1189
639	2109	1186
640	2112	1183
641	2115	1179
642	2118	1176
643	2121	1172
644	2124	1169
645	2127	1165
646	2130	1162
647	2133	1159
648	2137	1155
649	2140	1152
650	2143	1149
651	2146	1145
652	2149	1142
653	2152	1138
654	2155	1135
655	2159	1132
656	2162	1128
657	2165	1125
658	2168	1121
659	2171	1118
660	2174	1115
661	2177	1111
662	2180	1108
663	2183	1105
664	2187	1101
665	2190	1098
666	2193	1095
667	2196	1091
668	2199	1088
669	2202	1085
670	2205	1081
671	2208	1078
672	2212	1074
673	2215	1071
674	2217	1067
675	2220	1064
676	2223	1061
677	2227	1057
678	2230	1054
679	2233	1051
680	2236	1047
681	2239	1044
682	2243	1041
683	2246	1037
684	2249	1034
685	2252	1030
686	2255	1027
687	2258	1024
688	2261	1020
689	2264	1017
690	2267	1014
691	2270	1010
692	2273	1007
693	2277	1004
694	2280	1000
695	2283	997
696	2286	993
697	2289	990
698	2292	987
699	2295	983
700	2298	980
701	2301	976
702	2304	973
703	2307	970
704	2310	966
705	2313	963
706	2316	960
707	2320	956
708	2323	953
709	2326	950
710	2329	946
711	2332	943
712	2335	940
713	2338	936
714	2342	933
715	2345	930
716	2348	926
717	2351	923
718	2354	920
719	2357	916
720	2361	913
721	2364	910
722	2367	907
723	2370	903
724	2373	900
725	2376	896
726	2379	893
727	2382	890
728	2386	886
729	2389	883
730	2392	880
731	2395	876
732	2398	873
733	2401	870
734	2404	866
735	2407	863
736	2410	860
737	2413	856
738	2416	853
739	2419	850
740	2423	846
741	2425	843
742	2429	840
743	2432	836
744	2435	833
745	2438	830
746	2441	826
747	2444	823
748	2447	820
749	2450	816
750	2454	813
751	2457	810
752	2460	807
753	2463	803
754	2466	800
755	2469	797
756	2473	793
757	2476	790
758	2479	787
759	2482	783
760	2485	780
761	2488	777
762	2491	773
763	2494	770
764	2497	767
765	2500	763
766	2503	760
767	2506	757
768	2510	754
769	2513	750
770	2516	747
771	2519	744
772	2522	740
773	2525	737
774	2528	734
775	2531	730
776	2534	727
777	2537	724
778	2540	720
779	2543	717
780	2546	714
781	2549	710
782	2552	707
783	2555	704
784	2558	700
785	2561	697
786	2564	694
787	2568	690
788	2571	687
789	2574	684
790	2577	681
791	2580	677
792	2584	674
793	2587	671
794	2590	668
795	2593	664
796	2597	661
797	2600	658
798	2603	654
799	2606	651
800	2609	648
801	2612	645
802	2616	641
803	2619	638
804	2622	635
805	2626	632
806	2629	628
807	2632	625
808	2635	622
809	2638	618
810	2641	615
811	2645	612
812	2648	609
813	2651	605
814	2654	602
815	2657	599
816	2660	595
817	2663	592
818	2666	589
819	2669	586
820	2673	582
821	2676	579
822	2679	576
823	2682	573
824	2686	569
825	2689	566
826	2692	563
827	2695	559
828	2698	556
829	2701	553
830	2704	550
831	2707	546
832	2711	543
833	2714	540
834	2717	536
835	2720	533
836	2723	530
837	2726	527
838	2729	523
839	2732	520
840	2736	517
841	2739	514
842	2742	510
843	2745	507
844	2748	504
845	2751	500
846	2754	497
847	2757	494
848	2761	491
849	2764	487
850	2767	484
851	2770	481
852	2773	477
853	2776	474
854	2779	471
855	2782	468
856	2785	464
857	2788	461
858	2792	458
859	2795	455
860	2798	451
861	2801	448
862	2804	445
863	2807	441
864	2810	438
865	2814	435
866	2817	432
867	2820	428
868	2823	425
869	2826	422
870	2829	419
871	2832	415
872	2835	412
873	2839	409
874	2842	406
875	2845	402
876	2848	399
877	2851	396
878	2854	392
879	2857	389
880	2860	386
881	2863	383
882	2866	379
883	2870	376
884	2873	373
885	2876	370
886	2879	366
887	2882	363
888	2885	360
889	2888	357
890	2891	353
891	2894	350
892	2897	347
893	2901	344
894	2904	340
895	2907	337
896	2910	334
897	2913	330
898	2916	327
899	2919	324
900	2922	321
901	2925	317
902	2928	314
903	2931	311
904	2935	308
905	2938	304
906	2941	301
907	2944	298
908	2947	295
909	2951	291
910	2954	288
911	2957	285
912	2960	282
913	2963	278
914	2966	275
915	2969	272
916	2972	269
917	2975	265
918	2978	262
919	2981	259
920	2985	256
921	2988	252
922	2991	249
923	2994	246
924	2997	243
925	3000	239
926	3003	236
927	3006	233
928	3009	230
929	3012	226
930	3016	223
931	3019	220
932	3022	217
933	3025	213
934	3029	210
935	3032	207
936	3035	204
937	3038	200
938	3041	197
939	3044	194
940	3047	191
941	3050	187
942	3053	184
943	3056	181
944	3060	178
945	3063	174
946	3066	171
947	3069	168
948	3072	165
949	3075	161
950	3078	158
951	3082	155
952	3085	152
953	3088	148
954	3091	145
955	3094	142
956	3097	139
957	3100	135
958	3103	132
959	3107	129
960	3110	126
961	3113	122
962	3116	119
963	3119	116
964	3122	113
965	3125	110
966	3128	106
967	3131	103
968	3134	100
969	3138	97
970	3141	93
971	3144	90
972	3147	87
973	3150	84
974	3153	80
975	3156	77
976	3159	74
977	3162	71
978	3165	67
979	3169	64
980	3172	61
981	3175	58
982	3178	54
983	3181	51
984	3184	48
985	3187	45
986	3191	42
987	3194	38
988	3197	35
989	3200	32
990	3204	29
991	3207	25
992	3210	22
993	3213	19
994	3217	16
995	3220	12
996	3223	9
997	3226	6
998	3229	3
999	3232	0
